ID,Name,Lat,Long,1954,1962,1968,1975,1982,1990,1999
86066,Châtellerault,46.7815753,0.5508677,49677,55703,59793,63552,66407,67501,68442
86194,Poitiers,46.5673301,0.3838069,120633,131873,144008,164126,178551,190604,209216
87085,Limoges,45.8367504,1.2347323,180528,192431,208314,227014,238137,241778,247944
87154,Saint-Junien,45.88716,0.901165,12820,13457,13481,13198,13197,13343,13455
88075,Bresse,46.2040466,5.2238629,15169,15533,15777,15899,14928,13987,13440
88160,Épinal,48.1740334,6.4504067,74699,78219,81677,86668,88017,89334,89544
88383,Remiremont,48.0159915,6.591656,19884,19503,20557,23078,24119,22903,22601
88413,Saint-Dié-des-Vosges,48.287478,6.947608,37358,39749,42259,43949,44354,44665,45708
89024,Auxerre,47.8044503,3.5563922,56447,60207,66436,73340,80804,84082,85080
89025,Avallon,47.530556,4.045082,13440,13876,14571,15894,16099,16186,16003
89206,Joigny,47.9937613,3.3940252,8797,8665,11235,12777,11592,11874,12344
89257,Migennes,47.964727,3.513134,8131,9494,11121,12996,13166,13321,13272
89387,Sens,48.2160747,3.2708088,33806,35980,40016,45465,49653,53993,56660
90010,Belfort,47.6367613,6.8644571,75094,82112,89504,97013,99473,101785,104962
